报告期,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2008-09-30,2007-12-31,2006-12-31,
流动资产合计(万元),740795,736667,768408,749784,735826,703202,740934,721271,688118,679102,740103,716999,695483,694740,705828,646103,619288,598072,597775,568869,546010,523093,447311,447504,523785,529603,248398,242096,222603,220221,186391,174607,169501,164221,158933,139554,125536,128968,118613,118419,112746,114848,123239,122576,117263,116005,107086,96653,94583,99612,42055,37828,39864,31592,24112,
固定资产净额(万元),--,157899,--,158197,--,158402,--,155206,--,154820,--,126700,--,125208,118208,118327,118678,105938,66202,58278,51064,51660,49770,49068,47329,44606,37191,37056,37275,33560,23976,23579,23457,23420,23515,23466,23616,23584,23576,23671,22762,22922,21259,16914,16839,16920,15765,15635,15664,15597,7272,7130,7192,7037,7086,
资产总计(万元),1117493,1110623,1156300,1135794,1112161,1077697,1068485,1046177,1005299,993767,1022869,990546,958629,951684,984704,923023,880195,842364,809881,755626,731561,708039,698858,682793,657643,656530,375681,367052,338586,324262,286934,262971,252100,242091,235794,209009,192433,193391,178656,168472,160667,161867,154430,147904,140853,139167,128713,117705,114313,119059,59650,54815,56134,44518,34649,
流动负债合计(万元),561040,543337,555097,521073,498717,472347,288892,268041,273211,272483,306396,268567,254252,246075,259755,221680,192406,177245,159197,129221,114494,94713,95783,92348,80697,85308,90868,94099,79191,78548,60265,53420,51861,54177,62865,42554,33177,38217,30790,26357,25146,28873,30259,27622,24388,22876,17804,13921,12995,20232,19210,16950,20612,19722,12329,
非流动负债合计(万元),133949,139511,142334,145720,127969,118076,109725,108561,71085,64345,65246,74205,74352,74917,102487,90064,82285,63949,64479,49343,49327,49728,57666,53204,43192,43217,66661,58900,53951,46950,40938,34752,29488,21715,16556,12827,11981,11451,13481,11169,10038,10268,9810,9293,9118,9063,9222,4532,3130,2344,5678,5469,5617,4307,6139,
负债合计(万元),694989,682848,697431,666794,626686,590423,398616,376603,344296,336828,371643,342772,328605,320992,362242,311744,274692,241194,223676,178564,163821,144441,153450,145551,123890,128525,157528,152999,133142,125497,101202,88172,81349,75891,79421,55382,45158,49668,44271,37526,35184,39141,40069,36915,33506,31938,27026,18453,16125,22576,24888,22419,26229,24029,18469,
所有者权益(或股东权益)合计(万元),422504,427775,458870,469000,485475,487274,669869,669574,661003,656939,651226,647773,630024,630692,622462,611278,605504,601170,586205,577062,567740,563598,545408,537242,533753,528004,218153,214053,205444,198765,185731,174799,170751,166200,156373,153627,147275,143723,134386,130946,125483,122726,114361,110989,107346,107229,101687,99252,98187,96483,34762,32396,29905,20489,16180,
期初现金及现金等价物余额(万元),168749,135160,135160,135160,134738,147942,147942,147942,147942,199698,199698,199698,199698,123552,123552,123552,122385,135175,138423,135175,138823,309461,309461,309461,309461,45434,45434,45434,45434,31756,31756,31756,31946,33548,33753,32585,33548,40365,40365,40365,40365,65364,65393,65364,65364,65112,65112,65112,65112,10908,10908,10908,8527,8527,8372,5639,
经营活动产生的现金流量净额(万元),-26867,9989,-27642,-20728,-37000,23737,-41124,-25821,-14296,661,-51493,-39006,-37038,5463,-48501,-37642,-31750,-38602,-48292,-30495,-28759,-15690,-33971,-26950,-15743,-11902,-29537,-20682,-19154,9202,-20543,-11041,-10150,-2728,-16654,-13629,-10597,12303,-8106,-8745,-8150,-2029,-9884,-2800,-3678,12014,2883,-818,186,-1764,-6454,-4644,4472,-4209,4056,4568,
投资活动产生的现金流量净额(万元),49630,13459,25139,-965,8266,-60886,-49233,-43924,-60140,-7758,-67221,-33886,-57129,26988,6403,10327,25044,-53184,-36123,-15655,3086,-140233,-123888,-109264,-4779,-16777,-21654,-15646,-10514,-19286,-17410,-11071,-5486,-15555,-12766,-6188,-3101,-19582,-13796,-5391,-1380,-22199,-3880,-3432,-752,-5334,-3997,-2949,-1471,-2861,-1767,-1102,-4143,-3011,-2823,-1980,
筹资活动产生的现金流量净额(万元),-25136,10967,25838,35884,35909,24744,21263,18500,1956,-44520,3744,4078,9394,43679,66527,40256,15902,80164,54863,29417,9208,-18363,-6775,-7578,-9548,292706,20147,15358,6482,23763,15142,6936,5054,16517,11742,2934,301,463,-899,-976,-471,-728,-2014,-1070,-368,-6428,-5643,-5308,-5176,58843,1839,2056,2052,5277,-1079,146,
现金及现金等价物净增加额(万元),-2376,33590,23317,14181,7134,-12782,-69075,-51264,-72485,-51756,-114919,-68812,-84788,76146,24470,12939,9197,-11623,-29552,-16733,-16466,-174286,-164634,-143792,-30069,264027,-31043,-20970,-23186,13679,-22808,-15172,-10582,-1793,-17679,-16899,-13400,-6817,-22796,-15117,-10000,-24999,-15778,-7302,-4798,252,-6757,-9076,-6461,54204,-6382,-3690,2382,-1944,154,2733,
期末现金及现金等价物余额(万元),166373,168749,158476,149340,141872,135160,78867,96678,75457,147942,84779,130887,114910,199698,148022,136491,131582,123552,108871,118442,122358,135175,144827,165669,279392,309461,14391,24464,22248,45434,8948,16584,21364,31756,16074,15687,20148,33548,17569,25248,30365,40365,49615,58062,60566,65364,58355,56036,58651,65112,4526,7218,10908,6583,8527,8372,		
		
  
