报告期,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,
资产总计(万元),176960,188441,235737,242815,238020,234879,227055,228666,190144,185380,249944,250168,260606,262427,279446,269999,265813,256281,269858,234450,230495,206865,192339,191092,202932,199466,73316,71170,69763,55070,58432,56966,56559,57817,55989,54938,55306,54505,54259,53575,54567,49942,48945,48543,47085,47558,45481,18202,18488,17314,12306,
流动负债合计(万元),95644,106840,106404,108135,99411,95883,89393,101489,65638,62719,63994,63019,67677,65546,68938,63056,63676,57477,61526,84149,86273,62078,38987,36809,52391,48232,23152,20625,19916,7615,10096,8827,10642,12246,11989,11817,13646,12910,12728,12133,13371,8355,7978,8052,7056,7877,5661,4421,5771,9058,8186,
非流动负债合计(万元),7141,3205,1769,2326,713,719,741,797,165,162,303,293,329,377,193,223,355,438,10178,10268,10237,10335,23461,23449,25828,25738,2388,628,2270,289,1084,1100,1099,1097,125,110,111,111,90,99,74,87,135,114,142,133,1863,1986,1887,119,38,
负债合计(万元),102784,110045,108172,110461,100124,96602,90134,102286,65804,62881,64297,63312,68006,65923,69131,63278,64031,57916,71704,94416,96510,72412,62448,60258,78220,73969,25540,21252,22186,7904,11180,9926,11741,13343,12114,11927,13757,13022,12817,12232,13445,8442,8114,8167,7198,8011,7524,6407,7658,9178,8224,
所有者权益(或股东权益)合计(万元),74176,78395,127564,132354,137896,138277,136921,126380,124340,122499,185647,186856,192600,196505,210315,206720,201782,198365,198154,140034,133985,134452,129891,130833,124712,125497,47776,49918,47577,47166,47251,47040,44819,44474,43876,43011,41549,41484,41442,41342,41122,41500,40831,40377,39887,39547,37957,11795,10830,8137,4082,
期初现金及现金等价物余额(万元),3484,6898,6898,6898,6898,4581,4581,4581,4755,17258,17258,17258,17582,11273,11399,11452,11452,13317,13401,13401,13317,27008,27008,27008,27468,17558,20441,20441,17587,18645,19297,19297,19297,20017,20060,20017,20141,21833,21833,21833,21833,24701,24701,24701,24701,2117,2117,2117,708,708,708,718,469,
经营活动产生的现金流量净额(万元),-1417,-7629,-7421,-7255,-2264,19088,14555,18193,7627,1362,-983,-2808,3417,4689,8224,5935,12446,-4817,-4367,-618,-2955,-14150,-7317,-12349,-8209,4434,-4835,-2921,284,-1565,-1819,-1029,-1484,849,90,-626,-847,3729,3664,3942,2627,-1698,-1182,-824,-918,-3175,-852,-244,2669,1446,1446,-2320,1258,
投资活动产生的现金流量净额(万元),-1422,2301,2599,-6050,-6400,-27264,-22194,-11183,-622,-8536,-4408,-709,-532,5435,13361,19963,26991,-45300,-14769,-1065,-802,-11689,-13140,-2566,-1194,-32621,-6124,-5731,-5456,-602,-172,15,-1310,-1503,-1229,-792,-380,-3060,-2335,-1092,-454,-1753,-1689,-416,-14,-266,-243,-203,-1804,-18,-18,-613,-1376,
筹资活动产生的现金流量净额(万元),1178,1916,-151,7308,4517,10494,8697,-3816,-2397,-5504,-4691,-4247,-352,-4153,-738,-7203,-804,48073,51769,2462,5480,12148,7609,5337,239,37619,-346,-244,239,1082,540,540,0,-718,-291,-258,-100,-2486,-2205,-2205,297,584,-316,-278,-160,26024,25849,-374,545,-1168,-1168,2923,367,
现金及现金等价物净增加额(万元),-1660,-3415,-4974,-5998,-4148,2317,1058,3194,4608,-12677,-10082,-7764,2533,5985,20847,18695,38634,-2044,32633,779,1706,-13691,-12847,-9578,-9164,9451,-11305,-8896,-4933,-1088,-1451,-473,-2794,-1372,-1430,-1675,-1327,-1816,-876,645,2469,-2868,-3187,-1517,-1092,22584,24755,-821,1410,259,259,-10,249,
期末现金及现金等价物余额(万元),1824,3484,1924,900,2750,6898,5638,7775,9363,4581,7177,9494,20115,17258,32246,30146,50085,11273,46034,14180,15024,13317,14161,17430,18305,27008,9136,11544,12654,17558,17846,18824,16503,18645,18629,18341,18815,20017,20957,22478,24302,21833,21514,23183,23609,24701,26872,1296,2117,967,967,708,718,		
		
  
